S No,binary bit R,Binary bit S,Analog value,Analog Voltage,NTU
1,1,1,125,0.610351563,1-2NTU
2,0,0,101,0.493164063,1-2NTU
3,1,1,123,0.600585938,1-2NTU
4,0,0,101,0.493164063,1-2NTU
5,0,0,95,0.463867188,1-2NTU
6,0,0,99,0.483398438,1-2NTU
7,1,1,142,0.693359375,1-2NTU
8,0,0,97,0.473632813,1-2NTU
9,0,0,98,0.478515625,1-2NTU
10,0,0,98,0.478515625,1-2NTU
11,1,1,124,0.60546875,1-2NTU
12,1,1,144,0.703125,1-2NTU
13,0,0,102,0.498046875,1-2NTU
14,0,0,97,0.473632813,1-2NTU
15,1,1,141,0.688476563,1-2NTU
16,0,0,97,0.473632813,1-2NTU
17,0,0,100,0.48828125,1-2NTU
18,0,0,97,0.473632813,1-2NTU
19,1,1,124,0.60546875,1-2NTU
20,1,1,144,0.703125,1-2NTU
21,0,0,100,0.48828125,1-2NTU
22,0,0,98,0.478515625,1-2NTU
23,1,1,140,0.68359375,1-2NTU
24,0,0,98,0.478515625,1-2NTU
25,1,1,125,0.610351563,1-2NTU
26,1,1,141,0.688476563,1-2NTU
27,1,1,140,0.68359375,1-2NTU
28,1,1,144,0.703125,1-2NTU
29,0,0,100,0.48828125,1-2NTU
30,0,0,100,0.48828125,1-2NTU
31,1,1,140,0.68359375,1-2NTU
32,0,0,103,0.502929688,1-2NTU
33,0,0,99,0.483398438,1-2NTU
34,1,1,123,0.600585938,1-2NTU
35,0,0,101,0.493164063,1-2NTU
36,1,1,126,0.615234375,1-2NTU
37,0,0,99,0.483398438,1-2NTU
38,0,0,99,0.483398438,1-2NTU
39,0,0,100,0.48828125,1-2NTU
40,0,0,97,0.473632813,1-2NTU
41,0,0,100,0.48828125,1-2NTU
42,0,0,98,0.478515625,1-2NTU
43,0,0,98,0.478515625,1-2NTU
44,1,1,124,0.60546875,1-2NTU
45,0,0,99,0.483398438,1-2NTU
46,0,0,99,0.483398438,1-2NTU
47,1,1,140,0.68359375,1-2NTU
48,0,0,99,0.483398438,1-2NTU
49,1,1,124,0.60546875,1-2NTU
50,0,0,101,0.493164063,1-2NTU
51,1,1,121,0.590820313,1-2NTU
52,0,0,100,0.48828125,1-2NTU
53,0,0,97,0.473632813,1-2NTU
54,0,0,99,0.483398438,1-2NTU
55,1,1,142,0.693359375,1-2NTU
56,0,0,99,0.483398438,1-2NTU
57,0,0,100,0.48828125,1-2NTU
58,0,0,97,0.473632813,1-2NTU
59,1,1,125,0.610351563,1-2NTU
60,1,1,144,0.703125,1-2NTU
61,0,0,99,0.483398438,1-2NTU
62,0,0,97,0.473632813,1-2NTU
63,1,1,141,0.688476563,1-2NTU
64,0,0,96,0.46875,1-2NTU
65,0,0,101,0.493164063,1-2NTU
66,0,0,97,0.473632813,1-2NTU
67,1,1,124,0.60546875,1-2NTU
68,1,1,136,0.6640625,1-2NTU
69,0,0,100,0.48828125,1-2NTU
70,0,0,97,0.473632813,1-2NTU
71,1,1,140,0.68359375,1-2NTU
72,0,0,98,0.478515625,1-2NTU
73,1,1,124,0.60546875,1-2NTU
74,1,1,143,0.698242188,1-2NTU
75,1,1,142,0.693359375,1-2NTU
76,1,1,146,0.712890625,1-2NTU
77,0,0,100,0.48828125,1-2NTU
78,0,0,100,0.48828125,1-2NTU
79,1,1,140,0.68359375,1-2NTU
80,0,0,97,0.473632813,2-3NTU
81,0,0,97,0.473632813,2-3NTU
82,1,0,136,0.6640625,2-3NTU
83,0,1,97,0.473632813,2-3NTU
84,0,0,97,0.473632813,2-3NTU
85,1,0,141,0.688476563,2-3NTU
86,0,1,93,0.454101563,2-3NTU
87,1,0,120,0.5859375,2-3NTU
88,1,1,117,0.571289063,2-3NTU
89,0,0,93,0.454101563,2-3NTU
90,1,1,118,0.576171875,2-3NTU
91,0,0,92,0.44921875,2-3NTU
92,0,0,88,0.4296875,2-3NTU
93,0,0,90,0.439453125,2-3NTU
94,1,1,126,0.615234375,2-3NTU
95,0,0,93,0.454101563,2-3NTU
96,0,0,95,0.463867188,2-3NTU
97,0,0,93,0.454101563,2-3NTU
98,1,1,121,0.590820313,2-3NTU
99,1,1,142,0.693359375,2-3NTU
100,0,0,98,0.478515625,2-3NTU
101,0,0,97,0.473632813,2-3NTU
102,1,1,139,0.678710938,2-3NTU
103,0,0,97,0.473632813,2-3NTU
104,0,0,98,0.478515625,2-3NTU
105,0,0,94,0.458984375,2-3NTU
106,1,1,122,0.595703125,2-3NTU
107,1,1,142,0.693359375,2-3NTU
108,0,0,96,0.46875,2-3NTU
109,0,0,98,0.478515625,2-3NTU
110,1,1,139,0.678710938,2-3NTU
111,0,0,97,0.473632813,2-3NTU
112,1,1,121,0.590820313,2-3NTU
113,1,1,133,0.649414063,2-3NTU
114,1,1,141,0.688476563,2-3NTU
115,1,1,141,0.688476563,2-3NTU
116,0,0,96,0.46875,2-3NTU
117,0,0,97,0.473632813,2-3NTU
118,1,1,139,0.678710938,2-3NTU
119,0,0,97,0.473632813,2-3NTU
120,0,0,97,0.473632813,2-3NTU
121,1,1,121,0.590820313,2-3NTU
122,0,0,98,0.478515625,2-3NTU
123,1,1,123,0.600585938,2-3NTU
124,0,0,97,0.473632813,2-3NTU
125,0,0,97,0.473632813,2-3NTU
126,0,0,94,0.458984375,2-3NTU
127,0,0,95,0.463867188,2-3NTU
128,0,0,97,0.473632813,2-3NTU
129,0,0,95,0.463867188,2-3NTU
130,0,0,97,0.473632813,2-3NTU
131,1,1,122,0.595703125,2-3NTU
132,0,0,99,0.483398438,2-3NTU
133,0,0,93,0.454101563,2-3NTU
134,1,1,136,0.6640625,2-3NTU
135,0,0,95,0.463867188,2-3NTU
136,1,1,122,0.595703125,2-3NTU
137,0,0,98,0.478515625,2-3NTU
138,1,1,122,0.595703125,2-3NTU
139,0,0,98,0.478515625,2-3NTU
140,0,0,97,0.473632813,2-3NTU
141,0,0,98,0.478515625,2-3NTU
142,1,1,141,0.688476563,2-3NTU
143,0,0,95,0.463867188,2-3NTU
144,0,0,98,0.478515625,2-3NTU
145,0,0,95,0.463867188,2-3NTU
